name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
t_potter,16,1,0,0,16,1,32,2,0.0,1.0,0.0,1.0
next_server_free_time,16,1,0,0,16,1,32,2,0.0,1.0,0.0,1.0
max_consecutive_n,0,0,24,2,8,1,32,3,,,,
sok,16,1,0,0,16,1,32,2,0.0,1.0,0.0,1.0
cols,14,3,13,3,5,1,32,7,0.9285714285714286,0.35714285714285715,1.0,0.3333333333333333
last_zero_index,0,0,32,1,0,0,32,1,,,,
mex,0,0,32,2,0,0,32,2,,,,
grade_str,0,0,32,1,0,0,32,1,,,,
max_subtree_size,0,0,32,1,0,0,32,1,,,,
total_rectangles,0,0,32,1,0,0,32,1,,,,
cy,4,1,24,1,4,1,32,3,6.0,1.0,1.0,1.0
remaining_potions,0,0,32,1,0,0,32,1,,,,
prev_level,16,1,0,0,16,1,32,2,0.0,1.0,0.0,1.0
small,28,3,0,0,4,1,32,4,0.0,0.14285714285714285,0.0,0.3333333333333333
appear,16,1,0,0,16,1,32,2,0.0,1.0,0.0,1.0
wi,0,0,32,1,0,0,32,1,,,,
gcd_table,0,0,32,1,0,0,32,1,,,,
